BattingTeam,Batter,battingStyles_x,venue,Phase,WicketDeliveries,EconomyRate,StrikeRate,BoundaryPercentage,Selected
Gujarat Titans,P Simran Singh,,"Dr DY Patil Sports Academy, Mumbai",MiddleOvers,0,6.376351753780556,18.51354724507936,48.51584400403608,0
Sunrisers Hyderabad,Lalit Yadav,rhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MiddleOvers,1,4.3168899509957654,11.887800024207136,40.43454972429764,1
Punjab Kings,JL Pattinson,,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",DeathOvers,1,4.0,8.0,51.67775412782867,1
Delhi Capitals,MA Agarwal,,Sheikh Zayed Stadium,MiddleOvers,0,5.614412487396004,25.875470641269985,61.00234582251237,0
Lucknow Super Giants,S Nadeem,lhb,"MA Chidambaram Stadium, Chepauk, Chennai",MiddleOvers,0,9.570718000615942,22.003127212717843,57.00511638314406,0
Chennai Super Kings,NS Naik,lhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",MiddleOvers,0,9.038279565505727,11.238142119035357,62.8865571658288,1
Lucknow Super Giants,B Kumar,rhb,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,0,5.8624794779484795,16.061703790385266,47.09239884215943,0
Royal Challengers Bengaluru,DT Christian,,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,1,8.623551411252318,18.610162958938034,50.14787308408969,1
Gujarat Titans,PWH de Silva,rhb,Sharjah Cricket Stadium,DeathOvers,0,6.792257363827453,20.55167769798518,47.974786643633756,0
Gujarat Titans,SB Dubey,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",DeathOvers,0,4.883199497891865,10.626063833387757,58.87155482042719,1
Royal Challengers Bangalore,C Green,,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DeathOvers,0,9.796632324186252,25.633297226715726,50.63649803357724,0
Rajasthan Royals,AS Roy,rhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MiddleOvers,0,4.0,24.85153172811988,63.38951895102396,0
Kings XI Punjab,SM Curran,,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,0,6.22028543207953,18.949042352756354,50.27977355519831,0
Kings XI Punjab,A Zampa,lhb,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,1,10.026625920596649,18.57708506934971,40.25258830589692,1
Lucknow Super Giants,A Mishra,,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Powerplay,0,11.313020256712473,19.54811585993503,62.835651524253706,0
Sunrisers Hyderabad,Shubman Gill,lhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",DeathOvers,0,7.009629220266375,17.589384386356475,59.41526400115906,0
Punjab Kings,F du Plessis,,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",MiddleOvers,2,9.437643281327107,20.41964438347202,34.920482763237736,1
Delhi Capitals,Mohammed Siraj,,"Dr DY Patil Sports Academy, Mumbai",MiddleOvers,1,9.022488162821928,17.933957156905105,54.62893424823122,1
Kolkata Knight Riders,RA Tripathi,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",DeathOvers,0,9.181106381303428,12.473402654329472,43.87515188818821,1
Kings XI Punjab,MS Wade,lhb,"M Chinnaswamy Stadium, Bengaluru",Powerplay,0,5.435315822865302,23.436026573263334,45.17754325251129,0
Sunrisers Hyderabad,AJ Tye,rhb,"Wankhede Stadium, Mumbai",MiddleOvers,0,5.125312246265553,14.843805231532508,44.239180555061715,1
Rajasthan Royals,CH Gayle,rhb,Sheikh Zayed Stadium,Powerplay,0,5.853820629654383,13.87037548988992,48.03323795441002,1
Mumbai Indians,RJ Gleeson,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DeathOvers,1,5.553630029191457,15.879195877020333,40.884049058984196,1
Chennai Super Kings,Fazalhaq Farooqi,lhb,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DeathOvers,0,6.3870418056719735,13.301679243168486,29.770031974353415,1
Delhi Capitals,MA Agarwal,lhb,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,8.673182168929205,16.940381911326273,52.19102512501479,0
Delhi Capitals,C Green,rhb,"Barsapara Cricket Stadium, Guwahati",DeathOvers,0,10.852144189726518,16.14752567156391,58.236991509806025,0
Lucknow Super Giants,Mujeeb Ur Rahman,lhb,"Eden Gardens, Kolkata",Powerplay,0,10.498613231492534,19.88547853935758,52.93034367452709,0
Lucknow Super Giants,TA Boult,lhb,"Arun Jaitley Stadium, Delhi",Powerplay,0,10.64707862329104,22.483563738410336,63.56545618247978,0
Royal Challengers Bangalore,Sikandar Raza,,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,11.878560085706422,20.609515896430832,50.31579846012607,0
Kolkata Knight Riders,MR Marsh,rhb,"Brabourne Stadium, Mumbai",MiddleOvers,1,11.403268030209487,16.83749445805245,56.19564030470839,1
Gujarat Titans,PVD Chameera,,"Sawai Mansingh Stadium, Jaipur",MiddleOvers,1,8.297992725039247,23.574557042245342,41.04406696694461,1
Sunrisers Hyderabad,J Yadav,,Sharjah Cricket Stadium,Powerplay,0,13.844713383186157,19.493409404812994,23.688905065198522,0
Gujarat Titans,D Padikkal,rhb,"MA Chidambaram Stadium, Chepauk, Chennai",MiddleOvers,1,7.9255404169155375,16.088991573581833,32.657372896564596,1
Punjab Kings,NS Naik,lhb,"M Chinnaswamy Stadium, Bengaluru",DeathOvers,1,9.096769851407142,20.571655543033497,35.75944832345397,1
Royal Challengers Bengaluru,MM Ali,lhb,"Sawai Mansingh Stadium, Jaipur",MiddleOvers,0,11.788223713236869,17.603375046347153,65.54923651068282,0
Royal Challengers Bangalore,Sanvir Singh,,"MA Chidambaram Stadium, Chepauk, Chennai",MiddleOvers,1,9.804266047815965,15.888011041152819,57.9547294060921,1
Mumbai Indians,MA Wood,lhb,Dubai International Cricket Stadium,MiddleOvers,0,5.339958914279505,21.49494377059064,35.75151015100846,0
Kolkata Knight Riders,Harbhajan Singh,,"Arun Jaitley Stadium, Delhi",MiddleOvers,0,7.44009686713314,13.076599536248676,19.638300677796906,1
Delhi Capitals,Mohsin Khan,rhb,"Dr DY Patil Sports Academy, Mumbai",DeathOvers,2,8.107955293929578,22.311698819294833,59.05979418921545,1
Mumbai Indians,KS Sharma,rhb,Dubai International Cricket Stadium,DeathOvers,1,12.248434194810926,20.32430872454582,38.71359069441643,1
Gujarat Titans,SS Tiwary,rhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,0,8.90442631074251,15.935226396676088,54.87983225120709,0
Sunrisers Hyderabad,RM Patidar,rhb,"Wankhede Stadium, Mumbai",Powerplay,2,7.032684172932138,22.450675011094717,50.727199828419394,1
Royal Challengers Bangalore,K Yadav,rhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",MiddleOvers,0,10.07610779553163,8.0,72.94947392587571,1
Kolkata Knight Riders,Sameer Rizvi,,"Sawai Mansingh Stadium, Jaipur",Powerplay,1,7.971990024407393,15.989541301271027,61.83473593337435,1
Royal Challengers Bangalore,HH Pandya,lhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",MiddleOvers,0,12.026774315023852,16.110809472768537,43.550385716556704,0
Mumbai Indians,Rasikh Salam,lhb,Sheikh Zayed Stadium,Powerplay,0,7.068172357452694,18.893840118447237,37.88869683358841,0
Lucknow Super Giants,Liton Das,,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,0,6.998911802708367,25.60218663962376,48.72564359331386,0
Mumbai Indians,PWH de Silva,lhb,Sharjah Cricket Stadium,Powerplay,2,6.998707980355389,10.185622837342379,48.46131065013098,1
Kings XI Punjab,AJ Tye,lhb,"Narendra Modi Stadium, Ahmedabad",DeathOvers,1,10.502163277759397,17.298253089444216,43.0725233142923,1
Delhi Capitals,N Rana,rhb,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,10.989358442419292,22.39853048802653,57.75857069844249,0
Delhi Capitals,Kartik Tyagi,rhb,"Maharashtra Cricket Association Stadium, Pune",Powerplay,0,4.319761951459251,22.5515728780606,55.80342519519512,0
Delhi Capitals,Shakib Al Hasan,lhb,"Wankhede Stadium, Mumbai",MiddleOvers,2,5.314817155659731,9.384544572399605,23.518068843876794,1
Royal Challengers Bengaluru,MJ Santner,,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Powerplay,0,7.4714356328193094,20.475845046565343,43.64406964329593,0
Gujarat Titans,CV Varun,,"M Chinnaswamy Stadium, Bengaluru",DeathOvers,1,8.40313373862869,19.457688958471753,20.21084079183251,1
Delhi Capitals,Sandeep Sharma,lhb,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,0,12.8115809631722,17.413350637039194,59.582986825672606,0
Gujarat Titans,OF Smith,lhb,"Narendra Modi Stadium, Ahmedabad",MiddleOvers,0,11.281411645316139,11.761511066026781,49.36939577035143,1
Mumbai Indians,WP Saha,,"Himachal Pradesh Cricket Association Stadium, Dharamsala",MiddleOvers,0,10.484318825452545,25.951864885412487,17.646704508353338,0
Punjab Kings,Kumar Kushagra,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",MiddleOvers,2,4.0,15.50359868947216,29.708419247816938,1
Punjab Kings,AF Milne,rhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,1,7.031756139785086,19.450559968546283,42.80409766005706,1
Royal Challengers Bangalore,Simarjeet Singh,rhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Powerplay,2,8.415420002365297,16.67460146930126,26.74998248165492,1
Sunrisers Hyderabad,KL Rahul,,Sharjah Cricket Stadium,MiddleOvers,0,7.314604680741099,16.790464062485455,51.44386005401947,0
Punjab Kings,DA Warner,lhb,"Narendra Modi Stadium, Ahmedabad",Powerplay,0,8.114308136451974,8.193758759653813,41.140150295646045,1
Kings XI Punjab,DG Nalkande,lhb,"Eden Gardens, Kolkata",MiddleOvers,0,8.859906121986036,16.80331693184171,58.102398606804094,0
Mumbai Indians,Ishan Kishan,lhb,"Sawai Mansingh Stadium, Jaipur",DeathOvers,0,8.25833113988715,10.925384824325043,44.48819543735023,1
Sunrisers Hyderabad,KH Pandya,rhb,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DeathOvers,0,6.0419585626987935,23.098863477430207,52.812177275507054,0
Chennai Super Kings,K Rabada,lhb,"Arun Jaitley Stadium, Delhi",DeathOvers,0,9.545232818994537,29.488825460376766,41.89237902076663,0
Gujarat Titans,Priyansh Arya,lhb,"Zayed Cricket Stadium, Abu Dhabi",Powerplay,1,9.674742757962763,16.759051190371725,47.61931405313432,1
Royal Challengers Bangalore,Aniket Verma,lhb,"Maharashtra Cricket Association Stadium, Pune",MiddleOvers,0,7.01205114009511,22.419694432396184,28.64706886267171,0
Gujarat Titans,Abdul Basith,,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Powerplay,0,7.488559802815667,20.90492266207792,39.583313904149904,0
Delhi Capitals,PHKD Mendis,lhb,"Maharashtra Cricket Association Stadium, Pune",MiddleOvers,1,6.144859036185022,21.449975080637223,48.916247668740596,1
Chennai Super Kings,JO Holder,rhb,"Maharashtra Cricket Association Stadium, Pune",MiddleOvers,0,7.198862491552351,23.20303100151977,45.712558133157735,0
Lucknow Super Giants,Arshad Khan,rhb,"MA Chidambaram Stadium, Chepauk, Chennai",DeathOvers,1,6.381048016060333,20.14585471657247,76.24126097019158,1
Chennai Super Kings,Fazalhaq Farooqi,,"Dr DY Patil Sports Academy, Mumbai",Powerplay,1,10.863961571090785,13.732893770682585,15.55614463711651,1
Sunrisers Hyderabad,C Sakariya,lhb,"Barsapara Cricket Stadium, Guwahati",Powerplay,0,8.082866346979865,15.429128674816667,30.562421051208393,0
Gujarat Titans,MW Short,rhb,Sharjah Cricket Stadium,DeathOvers,0,7.705249308835037,9.850889744383414,64.45850832230572,1
Mumbai Indians,AS Joseph,rhb,"Brabourne Stadium, Mumbai",DeathOvers,1,8.309474897933157,13.054199582823658,57.26403838049366,1
Royal Challengers Bangalore,DJ Willey,lhb,"Barsapara Cricket Stadium, Guwahati",MiddleOvers,0,11.735834139767594,15.22686412353661,54.36996123570138,0
Lucknow Super Giants,Shahbaz Ahmed,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Powerplay,2,7.893104574867434,8.0,36.06213847315584,1
Lucknow Super Giants,A Nortje,rhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,0,11.514885656785282,21.6291079568373,67.14565032979905,0
Delhi Capitals,AT Rayudu,rhb,"Brabourne Stadium, Mumbai",Powerplay,2,4.067473385623483,12.231836761708173,40.04345573963499,1
Punjab Kings,A Manohar,lhb,"Narendra Modi Stadium, Ahmedabad",Powerplay,1,6.978342096272531,16.56274825315406,31.318574084072907,1
Royal Challengers Bangalore,HH Pandya,,"Arun Jaitley Stadium, Delhi",Powerplay,0,9.720405516814136,11.459660384337475,45.08430797571941,1
Rajasthan Royals,A Nortje,rhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",MiddleOvers,0,10.674746453083067,23.99285695208797,31.907416424401823,0
Royal Challengers Bangalore,I Sharma,rhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,0,8.377912979202454,17.82949999732759,12.869133003750676,0
Delhi Capitals,Umran Malik,lhb,"Narendra Modi Stadium, Ahmedabad",DeathOvers,0,8.810039817412472,14.47368057095174,36.03619461824452,1
Rajasthan Royals,Mohsin Khan,lhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",MiddleOvers,0,12.232310802606463,8.0,34.111378891938266,1
Kolkata Knight Riders,AJ Hosein,lhb,"Wankhede Stadium, Mumbai",MiddleOvers,1,4.0,16.67883733852999,28.88153591501484,1
Royal Challengers Bangalore,Harpreet Singh,lhb,"Brabourne Stadium, Mumbai",Powerplay,0,10.806346912575558,14.322875435430586,39.25099086759341,1
Mumbai Indians,Aniket Verma,rhb,"Sawai Mansingh Stadium, Jaipur",Powerplay,1,8.378262904544668,15.58138745694473,54.64314229438116,1
Mumbai Indians,GJ Maxwell,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MiddleOvers,2,6.375821591390008,17.233000151730177,43.37446042173268,1
Lucknow Super Giants,DJ Malan,,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",DeathOvers,0,5.363894258328769,23.252534564590274,26.60995722097268,1
Royal Challengers Bengaluru,JDS Neesham,,"Eden Gardens, Kolkata",DeathOvers,0,8.962865741816591,21.704272337281694,54.24966085946919,0
Royal Challengers Bengaluru,CR Woakes,lhb,"Narendra Modi Stadium, Ahmedabad",Powerplay,0,8.932443609423643,23.248701394084343,34.97514806493862,0
Royal Challengers Bengaluru,G Coetzee,lhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DeathOvers,0,11.228742255727818,21.547082931161697,43.59768290887568,0
Gujarat Titans,Ashutosh Sharma,lhb,"MA Chidambaram Stadium, Chepauk, Chennai",Powerplay,0,8.80741693852936,20.01882373743433,47.79514188898452,0
Royal Challengers Bangalore,KA Jamieson,lhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MiddleOvers,2,6.7689966786031075,22.650555766293948,56.21376388688327,1
Kolkata Knight Riders,P Dubey,lhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",MiddleOvers,0,9.757193187149344,14.798216472150406,40.864480988879194,1
Royal Challengers Bengaluru,C Sakariya,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DeathOvers,0,7.690768752270521,15.906292429193,46.55102946581855,0
Royal Challengers Bengaluru,AS Rajpoot,lhb,"Arun Jaitley Stadium, Delhi",DeathOvers,0,6.853455648621327,10.079949626373025,52.61050379234242,1
Sunrisers Hyderabad,Mukesh Kumar,lhb,"Eden Gardens, Kolkata",DeathOvers,1,9.205196608618184,11.625593073164117,38.94653624809497,1
Punjab Kings,D Pretorius,,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,8.11045892899522,21.588017977166267,26.620675505723774,0
Rajasthan Royals,N Pooran,rhb,"Sawai Mansingh Stadium, Jaipur",Powerplay,1,6.5026936445675005,20.827081789884957,54.25252508646192,1
Punjab Kings,V Shankar,,"Wankhede Stadium, Mumbai",DeathOvers,0,5.7673658569179835,13.171680021068873,62.182344480972034,1
Punjab Kings,HC Brook,rhb,Dubai International Cricket Stadium,DeathOvers,0,8.571074990063073,8.636563917270987,59.05267175920113,1
Sunrisers Hyderabad,KD Karthik,rhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Powerplay,0,8.202678987069309,22.067327320490087,55.04488493808909,0
Rajasthan Royals,DJ Bravo,lhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",DeathOvers,1,13.69649937554844,24.370203285532508,57.70964321021184,1
Chennai Super Kings,CR Woakes,rhb,"M Chinnaswamy Stadium, Bengaluru",DeathOvers,0,7.677497122785683,30.0,58.25981406429361,0
Gujarat Titans,Suryansh Shedge,,"Zayed Cricket Stadium, Abu Dhabi",DeathOvers,0,9.171005467861018,21.71895963626973,39.062018381794296,0
Kolkata Knight Riders,MM Ali,lhb,"Eden Gardens, Kolkata",DeathOvers,0,7.260607303635021,15.351249268782158,54.508945154972665,0
Rajasthan Royals,AF Milne,,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,4.730584995460317,16.48572313436754,63.38338840979075,0
Kings XI Punjab,PJ Sangwan,rhb,Sharjah Cricket Stadium,Powerplay,0,8.380209338586102,23.14785434800044,50.4764466385939,0
Royal Challengers Bangalore,JR Hazlewood,lhb,"Arun Jaitley Stadium, Delhi",MiddleOvers,0,9.50377802923902,19.065854010050224,38.58560163800219,0
Kolkata Knight Riders,AD Russell,lhb,"Zayed Cricket Stadium, Abu Dhabi",MiddleOvers,0,10.089507828759922,16.719614349745925,60.61671213406535,0
Lucknow Super Giants,R Powell,lhb,"Arun Jaitley Stadium, Delhi",DeathOvers,2,9.481761463870427,22.16241693503705,18.956265020558067,1
Lucknow Super Giants,LB Williams,,"Sawai Mansingh Stadium, Jaipur",MiddleOvers,2,7.773263530011534,17.397565912619676,45.947862031862556,1
Mumbai Indians,CV Varun,,"MA Chidambaram Stadium, Chepauk, Chennai",Powerplay,0,12.301364947332209,18.173333366439167,52.01612368047814,0
Lucknow Super Giants,JJ Roy,lhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",DeathOvers,0,7.903787655802758,14.886866148295859,64.42891235896977,1
Delhi Capitals,KL Rahul,,"Himachal Pradesh Cricket Association Stadium, Dharamsala",MiddleOvers,1,4.702701731432509,13.943550287708035,53.628003770303835,1
Kolkata Knight Riders,JM Bairstow,rhb,Sharjah Cricket Stadium,DeathOvers,1,8.359246991686247,23.092524643096212,37.13463663827468,1
Rajasthan Royals,F du Plessis,,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DeathOvers,0,11.749558793644674,21.07569301822458,62.88584470114918,0
Mumbai Indians,DL Chahar,lhb,"Brabourne Stadium, Mumbai",MiddleOvers,0,7.818733478334121,19.023243398225613,49.99855404410354,0
Royal Challengers Bangalore,DT Christian,rhb,"Himachal Pradesh Cricket Association Stadium, Dharamsala",MiddleOvers,2,9.420604810239405,12.727810549416969,58.40140723666623,1
Chennai Super Kings,T Natarajan,lhb,"Zayed Cricket Stadium, Abu Dhabi",Powerplay,0,10.375761950185286,11.49474609846855,41.81589452619753,1
Sunrisers Hyderabad,SA Abbott,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Powerplay,2,8.145194745336564,19.762385497806644,79.9765361218004,1
Sunrisers Hyderabad,Saurav Chauhan,,"Dr DY Patil Sports Academy, Mumbai",Powerplay,0,9.122671228883062,14.353560234046789,35.25637114382502,1
Royal Challengers Bangalore,Ashutosh Sharma,rhb,"MA Chidambaram Stadium, Chepauk, Chennai",MiddleOvers,0,5.12213257551171,21.065402899854554,58.8152785465617,0
Kings XI Punjab,Yash Dayal,lhb,"Arun Jaitley Stadium, Delhi",Powerplay,0,10.153859721831637,22.919854259861854,46.545721038767965,0
Rajasthan Royals,DW Steyn,rhb,"Brabourne Stadium, Mumbai",Powerplay,1,7.506957273236658,17.6759047128142,62.473830238122375,1
Rajasthan Royals,Mohsin Khan,lhb,"Sawai Mansingh Stadium, Jaipur",MiddleOvers,0,7.474218396787517,18.870360240481467,32.47837022975949,0
Mumbai Indians,J Fraser-McGurk,rhb,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MiddleOvers,0,5.4610490605536945,23.91430389551219,36.60392859693952,0
Gujarat Titans,KS Sharma,,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DeathOvers,0,8.34219601241943,20.80102263042571,23.679916697805854,0
Rajasthan Royals,AM Rahane,lhb,"Wankhede Stadium, Mumbai",MiddleOvers,1,8.335045313144958,20.30973495467008,59.756726494341535,1
Gujarat Titans,Rahmanullah Gurbaz,lhb,"Narendra Modi Stadium, Ahmedabad",DeathOvers,0,8.16681767771699,19.284422724629824,24.182439453790263,0
Royal Challengers Bengaluru,J Fraser-McGurk,rhb,Sheikh Zayed Stadium,MiddleOvers,1,8.990784918205584,14.206471507659352,16.369229091594164,1
Gujarat Titans,SP Narine,,"Eden Gardens, Kolkata",DeathOvers,1,10.835065554327157,19.026820465053376,66.15531165338261,1
Sunrisers Hyderabad,V Kohli,lhb,Sheikh Zayed Stadium,DeathOvers,0,6.785404523570294,21.72103335631074,56.909965408526794,0
Chennai Super Kings,Simarjeet Singh,,"Sawai Mansingh Stadium, Jaipur",DeathOvers,0,5.593480219306385,11.444992381924834,22.467545946210397,1
Chennai Super Kings,N Rana,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Powerplay,0,8.799258221238171,14.65385657256539,21.015485783221344,1
Kings XI Punjab,SO Hetmyer,lhb,"Arun Jaitley Stadium, Delhi",Powerplay,0,8.760511628934971,18.116817296828863,47.670271817012654,0
Kings XI Punjab,SP Goswami,lhb,"Maharashtra Cricket Association Stadium, Pune",Powerplay,1,7.300963842629227,11.187449137170283,51.39011776197968,1
Royal Challengers Bangalore,PP Shaw,lhb,"Narendra Modi Stadium, Ahmedabad",Powerplay,0,7.252053880342095,14.71878610310474,53.24289278764569,1
Delhi Capitals,C Sakariya,,"Barsapara Cricket Stadium, Guwahati",DeathOvers,0,11.136003682818743,11.619673828146645,56.60378913025555,1
Lucknow Super Giants,Mukesh Kumar,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Powerplay,0,11.805859600466384,17.010408981562286,46.98588470234692,0
Punjab Kings,AJ Finch,,"Eden Gardens, Kolkata",MiddleOvers,0,9.757318751075553,21.245314764985473,35.7384175530114,0
Delhi Capitals,Shubman Gill,rhb,Sheikh Zayed Stadium,Powerplay,0,8.65574245031615,13.202725241270432,51.2109124847034,1
Royal Challengers Bangalore,R Minz,,Sheikh Zayed Stadium,DeathOvers,0,6.265342842538847,24.969098175355292,32.37458398544936,0
Punjab Kings,R Dhawan,,Sharjah Cricket Stadium,DeathOvers,0,9.624928452151867,17.656406088445113,41.460815511198746,0
Gujarat Titans,AT Rayudu,rhb,"Zayed Cricket Stadium, Abu Dhabi",Powerplay,1,6.111183095713037,13.409619657580725,43.39600722713092,1
Delhi Capitals,Shubman Gill,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",MiddleOvers,0,9.303996931704825,14.34433208758942,29.78339183250791,1
Sunrisers Hyderabad,Mandeep Singh,lhb,"Arun Jaitley Stadium, Delhi",MiddleOvers,0,6.663269381583818,24.1929928673368,50.77996097018703,0
Delhi Capitals,LS Livingstone,lhb,"Dr DY Patil Sports Academy, Mumbai",Powerplay,0,5.232900697380086,17.213332135172923,22.946335142771417,1
Delhi Capitals,TL Seifert,lhb,"Wankhede Stadium, Mumbai",MiddleOvers,0,9.045516922273878,23.08413710248078,42.25618413412424,0
Royal Challengers Bengaluru,HC Brook,,Dubai International Cricket Stadium,DeathOvers,2,11.780283825786135,24.16375076551885,35.188669592653156,1
Gujarat Titans,PHKD Mendis,lhb,Sheikh Zayed Stadium,MiddleOvers,2,8.801708676660482,11.482912282324419,31.175154117704075,1
Gujarat Titans,JDS Neesham,lhb,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",MiddleOvers,0,6.383302592074555,9.970841130453648,33.221060560246144,1
Royal Challengers Bengaluru,NS Naik,rhb,"Eden Gardens, Kolkata",Powerplay,0,9.853179080844962,25.170743887706195,44.885596172891034,0
Rajasthan Royals,AR Patel,,"MA Chidambaram Stadium, Chepauk, Chennai",DeathOvers,1,11.060914036367405,13.383002639497889,53.03634890421713,1
Kolkata Knight Riders,RV Patel,lhb,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Powerplay,0,7.3286244135712195,8.0,35.95037063690136,1
