Bowler,venue,BattingTeam,Phase,Batter,Innings,winner,TotalRuns,ExtrasRuns,WicketDeliveries,Balls,Boundaries,WinLoss,battingStyles_x,bowlingStyles,longBowlingStyles,EconomyRate,StrikeRate,BoundaryPercentage,Selected,Year
A Badoni,"Wankhede Stadium, Mumbai",Mumbai Indians,MiddleOvers,Tilak Varma,2,Lucknow Super Giants,2,0,0.0,2,0,1,,ob,right-arm offbreak,6.0,inf,0.0,1,2020
A Kamboj,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Powerplay,MR Marsh,1,Chennai Super Kings,10,0,0.0,11,1,1,rhb,rm,right-arm medium,5.454545454545455,inf,9.090909090909092,1,2020
A Kamboj,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Powerplay,N Pooran,1,Chennai Super Kings,4,0,1.0,4,1,1,lhb,rm,right-arm medium,6.0,4.0,25.0,1,2020
A Kamboj,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Powerplay,RR Pant,1,Chennai Super Kings,6,0,0.0,3,1,1,lhb,rm,right-arm medium,12.0,inf,33.33333333333333,0,2020
A Kamboj,"Eden Gardens, Kolkata",Kolkata Knight Riders,Powerplay,N Rana,1,Kolkata Knight Riders,7,0,0.0,6,1,0,lhb,rm,right-arm medium,7.0,inf,16.666666666666664,0,2020
A Kamboj,"Eden Gardens, Kolkata",Kolkata Knight Riders,Powerplay,SS Iyer,1,Kolkata Knight Riders,3,1,1.0,5,0,0,rhb,rm,right-arm medium,3.6,5.0,0.0,1,2020
A Kamboj,"Eden Gardens, Kolkata",Kolkata Knight Riders,Powerplay,VR Iyer,1,Kolkata Knight Riders,14,0,0.0,8,2,0,lhb,rm,right-arm medium,10.5,inf,25.0,0,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Powerplay,AM Rahane,2,Kolkata Knight Riders,7,0,0.0,5,1,0,rhb,rm,right-arm medium,8.4,inf,20.0,0,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Powerplay,Q de Kock,2,Kolkata Knight Riders,9,1,1.0,5,1,0,lhb,rm,right-arm medium,10.8,5.0,20.0,1,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Powerplay,SP Narine,2,Kolkata Knight Riders,3,0,0.0,3,0,0,lhb,rm,right-arm medium,6.0,inf,0.0,1,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Powerplay,H Klaasen,2,Sunrisers Hyderabad,0,0,0.0,3,0,0,rhb,rm,right-arm medium,0.0,inf,0.0,1,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Powerplay,Ishan Kishan,2,Sunrisers Hyderabad,6,0,0.0,6,1,0,lhb,rm,right-arm medium,6.0,inf,16.666666666666664,1,2020
A Kamboj,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Powerplay,TM Head,2,Sunrisers Hyderabad,10,0,1.0,9,2,0,lhb,rm,right-arm medium,6.666666666666667,9.0,22.22222222222222,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Lucknow Super Giants,MiddleOvers,KL Rahul,1,Lucknow Super Giants,2,0,0.0,3,0,0,rhb,rm,right-arm medium,4.0,inf,0.0,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Lucknow Super Giants,MiddleOvers,N Pooran,1,Lucknow Super Giants,32,4,0.0,13,5,0,lhb,rm,right-arm medium,14.76923076923077,inf,38.46153846153847,0,2020
A Kamboj,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Powerplay,KL Rahul,1,Lucknow Super Giants,1,0,0.0,1,0,0,rhb,rm,right-arm medium,6.0,inf,0.0,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Powerplay,MP Stoinis,1,Lucknow Super Giants,13,0,0.0,5,3,0,rhb,rm,right-arm medium,15.6,inf,60.0,0,2020
A Kamboj,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,MiddleOvers,MA Agarwal,1,Mumbai Indians,0,0,1.0,2,0,1,rhb,rm,right-arm medium,0.0,2.0,0.0,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,MiddleOvers,Nithish Kumar Reddy,1,Mumbai Indians,8,0,0.0,7,0,1,,rm,right-arm medium,6.857142857142857,inf,0.0,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,MiddleOvers,TM Head,1,Mumbai Indians,2,0,0.0,3,0,1,lhb,rm,right-arm medium,4.0,inf,0.0,1,2020
A Kamboj,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Powerplay,Abhishek Sharma,1,Mumbai Indians,9,2,0.0,5,1,1,lhb,rm,right-arm medium,10.8,inf,20.0,0,2020
A Kamboj,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Powerplay,TM Head,1,Mumbai Indians,24,2,0.0,10,4,1,lhb,rm,right-arm medium,14.4,inf,40.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,MiddleOvers,A Manohar,1,Gujarat Titans,1,0,1.0,3,0,0,rhb,lb,legbreak,2.0,3.0,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,MiddleOvers,HH Pandya,1,Gujarat Titans,3,0,0.0,3,0,0,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,MiddleOvers,V Shankar,1,Gujarat Titans,1,0,0.0,2,0,0,rhb,lb,legbreak,3.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,MiddleOvers,WP Saha,1,Gujarat Titans,4,0,0.0,4,0,0,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,MiddleOvers,Dhruv Jurel,2,Rajasthan Royals,7,0,0.0,5,1,0,,lb,legbreak,8.4,inf,20.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,MiddleOvers,R Parag,2,Rajasthan Royals,7,0,1.0,3,1,0,rhb,lb,legbreak,14.0,3.0,33.33333333333333,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,MiddleOvers,SV Samson,2,Rajasthan Royals,6,0,0.0,4,1,0,rhb,lb,legbreak,9.0,inf,25.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,DeathOvers,F du Plessis,1,Royal Challengers Bangalore,3,0,1.0,3,0,0,rhb,lb,legbreak,6.0,3.0,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,DeathOvers,KD Karthik,1,Royal Challengers Bangalore,7,0,0.0,2,1,0,rhb,lb,legbreak,21.0,inf,50.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,DeathOvers,MK Lomror,1,Royal Challengers Bangalore,1,0,0.0,1,0,0,lhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,MiddleOvers,F du Plessis,1,Royal Challengers Bangalore,2,0,0.0,2,0,0,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,MiddleOvers,KD Karthik,1,Royal Challengers Bangalore,1,0,0.0,2,0,0,rhb,lb,legbreak,3.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,MiddleOvers,SS Prabhudessai,1,Royal Challengers Bangalore,0,0,1.0,2,0,0,rhb,lb,legbreak,0.0,2.0,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,Powerplay,F du Plessis,1,Royal Challengers Bangalore,4,0,0.0,3,0,0,rhb,lb,legbreak,8.0,inf,0.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,Powerplay,V Kohli,1,Royal Challengers Bangalore,3,0,0.0,3,0,0,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,DeathOvers,AU Rashid,1,Lucknow Super Giants,4,0,1.0,3,1,1,,lb,legbreak,8.0,3.0,33.33333333333333,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,DeathOvers,Abdul Samad,1,Lucknow Super Giants,1,0,0.0,1,0,1,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,DeathOvers,RA Tripathi,1,Lucknow Super Giants,6,1,0.0,4,1,1,rhb,lb,legbreak,9.0,inf,25.0,0,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,DeathOvers,Washington Sundar,1,Lucknow Super Giants,3,0,1.0,4,0,1,lhb,lb,legbreak,4.5,4.0,0.0,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,MiddleOvers,RA Tripathi,1,Lucknow Super Giants,6,0,0.0,6,1,1,rhb,lb,legbreak,6.0,inf,16.666666666666664,1,2020
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,MiddleOvers,Washington Sundar,1,Lucknow Super Giants,4,0,0.0,6,0,1,lhb,lb,legbreak,4.0,inf,0.0,1,2020
A Mishra,Dubai International Cricket Stadium,Chennai Super Kings,MiddleOvers,F du Plessis,2,Delhi Capitals,14,0,0.0,10,1,1,rhb,lb,legbreak,8.4,inf,10.0,0,2020
A Mishra,Dubai International Cricket Stadium,Chennai Super Kings,MiddleOvers,KM Jadhav,2,Delhi Capitals,5,0,0.0,5,0,1,,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,Dubai International Cricket Stadium,Chennai Super Kings,MiddleOvers,RD Gaikwad,2,Delhi Capitals,1,0,0.0,3,0,1,rhb,lb,legbreak,2.0,inf,0.0,1,2020
A Mishra,Dubai International Cricket Stadium,Chennai Super Kings,Powerplay,F du Plessis,2,Delhi Capitals,1,0,0.0,3,0,1,rhb,lb,legbreak,2.0,inf,0.0,1,2020
A Mishra,Dubai International Cricket Stadium,Chennai Super Kings,Powerplay,RD Gaikwad,2,Delhi Capitals,2,0,0.0,3,0,1,rhb,lb,legbreak,4.0,inf,0.0,1,2020
A Mishra,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,MiddleOvers,F du Plessis,1,Lucknow Super Giants,3,0,0.0,4,0,1,rhb,lb,legbreak,4.5,inf,0.0,1,2020
A Mishra,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,MiddleOvers,GJ Maxwell,1,Lucknow Super Giants,14,0,0.0,6,2,1,rhb,lb,legbreak,14.0,inf,33.33333333333333,0,2020
A Mishra,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,MiddleOvers,V Kohli,1,Lucknow Super Giants,1,0,1.0,2,0,1,rhb,lb,legbreak,3.0,2.0,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,DeathOvers,Ishan Kishan,1,Delhi Capitals,0,0,1.0,1,0,1,lhb,lb,legbreak,0.0,1.0,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,DeathOvers,J Yadav,1,Delhi Capitals,4,0,0.0,3,0,1,rhb,lb,legbreak,8.0,inf,0.0,0,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,DeathOvers,RD Chahar,1,Delhi Capitals,1,0,0.0,2,0,1,rhb,lb,legbreak,3.0,inf,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,MiddleOvers,HH Pandya,1,Delhi Capitals,0,0,1.0,1,0,1,rhb,lb,legbreak,0.0,1.0,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,MiddleOvers,Ishan Kishan,1,Delhi Capitals,2,0,0.0,3,0,1,lhb,lb,legbreak,4.0,inf,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,MiddleOvers,J Yadav,1,Delhi Capitals,0,0,0.0,1,0,1,rhb,lb,legbreak,0.0,inf,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,MiddleOvers,KA Pollard,1,Delhi Capitals,1,0,1.0,3,0,1,,lb,legbreak,2.0,3.0,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,MiddleOvers,RG Sharma,1,Delhi Capitals,6,0,1.0,4,1,1,rhb,lb,legbreak,9.0,4.0,25.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Powerplay,RG Sharma,1,Delhi Capitals,1,0,0.0,2,0,1,rhb,lb,legbreak,3.0,inf,0.0,1,2020
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Powerplay,SA Yadav,1,Delhi Capitals,9,0,0.0,4,2,1,rhb,lb,legbreak,13.5,inf,50.0,0,2020
A Mishra,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,MiddleOvers,AB de Villiers,1,Royal Challengers Bangalore,3,0,0.0,4,0,0,,lb,legbreak,4.5,inf,0.0,1,2020
A Mishra,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,MiddleOvers,GJ Maxwell,1,Royal Challengers Bangalore,2,0,1.0,2,0,0,rhb,lb,legbreak,6.0,2.0,0.0,1,2020
A Mishra,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,MiddleOvers,RM Patidar,1,Royal Challengers Bangalore,11,0,0.0,6,1,0,rhb,lb,legbreak,11.0,inf,16.666666666666664,0,2020
A Mishra,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Powerplay,GJ Maxwell,1,Royal Challengers Bangalore,9,0,0.0,4,1,0,rhb,lb,legbreak,13.5,inf,25.0,0,2020
A Mishra,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Powerplay,RM Patidar,1,Royal Challengers Bangalore,2,0,0.0,2,0,0,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,MiddleOvers,Atharva Taide,2,Lucknow Super Giants,6,0,0.0,4,1,1,,lb,legbreak,9.0,inf,25.0,0,2020
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,MiddleOvers,Sikandar Raza,2,Lucknow Super Giants,2,0,0.0,2,0,1,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Powerplay,Atharva Taide,2,Lucknow Super Giants,10,0,0.0,4,1,1,,lb,legbreak,15.0,inf,25.0,0,2020
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Powerplay,Sikandar Raza,2,Lucknow Super Giants,5,0,0.0,2,1,1,rhb,lb,legbreak,15.0,inf,50.0,0,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,MiddleOvers,AK Markram,1,Lucknow Super Giants,13,0,0.0,8,1,1,rhb,lb,legbreak,9.75,inf,12.5,0,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,MiddleOvers,Abdul Samad,1,Lucknow Super Giants,1,0,0.0,1,0,1,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,MiddleOvers,Anmolpreet Singh,1,Lucknow Super Giants,1,0,1.0,2,0,1,rhb,lb,legbreak,3.0,2.0,0.0,1,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,MiddleOvers,H Klaasen,1,Lucknow Super Giants,19,1,0.0,8,3,1,rhb,lb,legbreak,14.25,inf,37.5,0,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Powerplay,AK Markram,1,Lucknow Super Giants,1,0,0.0,1,0,1,rhb,lb,legbreak,6.0,inf,0.0,1,2020
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Powerplay,Anmolpreet Singh,1,Lucknow Super Giants,5,0,0.0,5,1,1,rhb,lb,legbreak,6.0,inf,20.0,1,2020
A Mishra,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,MiddleOvers,JC Buttler,2,Lucknow Super Giants,12,1,0.0,7,2,1,rhb,lb,legbreak,10.285714285714285,inf,28.57142857142857,0,2020
A Mishra,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,MiddleOvers,YBK Jaiswal,2,Lucknow Super Giants,4,0,0.0,5,0,1,lhb,lb,legbreak,4.8,inf,0.0,1,2020
A Mishra,Sharjah Cricket Stadium,Kolkata Knight Riders,MiddleOvers,AD Russell,2,Delhi Capitals,4,1,0.0,3,0,1,rhb,lb,legbreak,8.0,inf,0.0,0,2020
A Mishra,Sharjah Cricket Stadium,Kolkata Knight Riders,MiddleOvers,N Rana,2,Delhi Capitals,8,0,0.0,3,1,1,lhb,lb,legbreak,16.0,inf,33.33333333333333,0,2020
A Mishra,Sharjah Cricket Stadium,Kolkata Knight Riders,MiddleOvers,Shubman Gill,2,Delhi Capitals,0,0,1.0,1,0,1,rhb,lb,legbreak,0.0,1.0,0.0,1,2020
A Mishra,Sharjah Cricket Stadium,Kolkata Knight Riders,Powerplay,N Rana,2,Delhi Capitals,1,0,0.0,4,0,1,lhb,lb,legbreak,1.5,inf,0.0,1,2020
A Mishra,Sharjah Cricket Stadium,Kolkata Knight Riders,Powerplay,Shubman Gill,2,Delhi Capitals,1,0,0.0,2,0,1,rhb,lb,legbreak,3.0,inf,0.0,1,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,MiddleOvers,DA Warner,1,Sunrisers Hyderabad,4,0,1.0,3,1,0,lhb,lb,legbreak,8.0,3.0,33.33333333333333,1,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,MiddleOvers,JM Bairstow,1,Sunrisers Hyderabad,8,0,0.0,8,1,0,rhb,lb,legbreak,6.0,inf,12.5,1,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,MiddleOvers,KS Williamson,1,Sunrisers Hyderabad,8,0,0.0,5,1,0,rhb,lb,legbreak,9.6,inf,20.0,0,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,MiddleOvers,MK Pandey,1,Sunrisers Hyderabad,1,0,1.0,2,0,0,rhb,lb,legbreak,3.0,2.0,0.0,1,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,Powerplay,DA Warner,1,Sunrisers Hyderabad,5,0,0.0,3,0,0,lhb,lb,legbreak,10.0,inf,0.0,0,2020
A Mishra,Sheikh Zayed Stadium,Sunrisers Hyderabad,Powerplay,JM Bairstow,1,Sunrisers Hyderabad,9,0,0.0,3,1,0,rhb,lb,legbreak,18.0,inf,33.33333333333333,0,2020
A Mishra,"Wankhede Stadium, Mumbai",Chennai Super Kings,MiddleOvers,AT Rayudu,1,Delhi Capitals,3,0,0.0,4,0,1,,lb,legbreak,4.5,inf,0.0,1,2020
A Mishra,"Wankhede Stadium, Mumbai",Chennai Super Kings,MiddleOvers,MM Ali,1,Delhi Capitals,4,0,0.0,5,0,1,lhb,lb,legbreak,4.8,inf,0.0,1,2020
A Mishra,"Wankhede Stadium, Mumbai",Chennai Super Kings,MiddleOvers,SK Raina,1,Delhi Capitals,20,0,0.0,9,2,1,,lb,legbreak,13.333333333333334,inf,22.22222222222222,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,DeathOvers,DP Conway,1,Chennai Super Kings,11,0,1.0,7,2,0,lhb,rf,right-arm fast,9.428571428571429,7.0,28.57142857142857,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,DeathOvers,MS Dhoni,1,Chennai Super Kings,1,0,0.0,1,0,0,rhb,rf,right-arm fast,6.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,DeathOvers,RA Jadeja,1,Chennai Super Kings,11,0,0.0,3,2,0,lhb,rf,right-arm fast,22.0,inf,66.66666666666666,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,DeathOvers,S Dube,1,Chennai Super Kings,1,0,0.0,1,0,0,lhb,rf,right-arm fast,6.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,MiddleOvers,DP Conway,1,Chennai Super Kings,2,0,0.0,2,0,0,lhb,rf,right-arm fast,6.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,MiddleOvers,RD Gaikwad,1,Chennai Super Kings,8,0,0.0,4,1,0,rhb,rf,right-arm fast,12.0,inf,25.0,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Powerplay,DP Conway,1,Chennai Super Kings,8,0,0.0,4,2,0,lhb,rf,right-arm fast,12.0,inf,50.0,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Powerplay,RD Gaikwad,1,Chennai Super Kings,1,0,0.0,2,0,0,rhb,rf,right-arm fast,3.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,DeathOvers,B Sai Sudharsan,2,Gujarat Titans,12,0,0.0,4,2,0,lhb,rf,right-arm fast,18.0,inf,50.0,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,DeathOvers,DA Miller,2,Delhi Capitals,24,0,0.0,6,4,1,lhb,rf,right-arm fast,24.0,inf,66.66666666666666,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,DeathOvers,DA Miller,2,Gujarat Titans,2,0,0.0,2,0,0,lhb,rf,right-arm fast,6.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,MiddleOvers,B Sai Sudharsan,2,Gujarat Titans,4,0,0.0,3,0,0,lhb,rf,right-arm fast,8.0,inf,0.0,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,MiddleOvers,V Shankar,2,Gujarat Titans,1,0,0.0,3,0,0,rhb,rf,right-arm fast,2.0,inf,0.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,B Sai Sudharsan,2,Delhi Capitals,16,0,0.0,8,3,1,lhb,rf,right-arm fast,12.0,inf,37.5,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,B Sai Sudharsan,2,Gujarat Titans,9,1,0.0,5,1,0,lhb,rf,right-arm fast,10.8,inf,20.0,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,HH Pandya,2,Gujarat Titans,6,1,0.0,3,1,0,rhb,rf,right-arm fast,12.0,inf,33.33333333333333,0,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,Shubman Gill,2,Delhi Capitals,4,0,1.0,3,1,1,rhb,rf,right-arm fast,8.0,3.0,33.33333333333333,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,Shubman Gill,2,Gujarat Titans,6,1,1.0,5,1,0,rhb,rf,right-arm fast,7.199999999999999,5.0,20.0,1,2020
A Nortje,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Powerplay,WP Saha,2,Delhi Capitals,4,0,0.0,1,1,1,rhb,rf,right-arm fast,24.0,inf,75.05000000000109,0,2020
